artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Ronski Speed,Downfall (Mixed),5GvsLHMdRwwdkE1gw19eWN,16,0.385,0.952,11,-7.792,1,0.0421,4.82e-06,0.129,0.64,0.757,140.208,audio_features,5GvsLHMdRwwdkE1gw19eWN,spotify:track:5GvsLHMdRwwdkE1gw19eWN,https://api.spotify.com/v1/tracks/5GvsLHMdRwwdkE1gw19eWN,https://api.spotify.com/v1/audio-analysis/5GvsLHMdRwwdkE1gw19eWN,54880,4
ODIE,Miss Summer,58VNpcJpI5dEKxYByCkbXc,69,0.589,0.527,0,-9.962,1,0.0342,0.599,0.000111,0.0853,0.132,133.981,audio_features,58VNpcJpI5dEKxYByCkbXc,spotify:track:58VNpcJpI5dEKxYByCkbXc,https://api.spotify.com/v1/tracks/58VNpcJpI5dEKxYByCkbXc,https://api.spotify.com/v1/audio-analysis/58VNpcJpI5dEKxYByCkbXc,162377,4
Yasin,2020,5pBXe5R28sxmMHo14HSL8Q,0,0.523,0.822,11,-5.636,0,0.368,0.641,1.19e-06,0.175,0.245,76.839,audio_features,5pBXe5R28sxmMHo14HSL8Q,spotify:track:5pBXe5R28sxmMHo14HSL8Q,https://api.spotify.com/v1/tracks/5pBXe5R28sxmMHo14HSL8Q,https://api.spotify.com/v1/audio-analysis/5pBXe5R28sxmMHo14HSL8Q,173333,3
Lil Uzi Vert,Lo Mein,6CUP2khYzdphXebxVTfPE3,66,0.855,0.676,1,-5.736,1,0.325,0.0888,0.0,0.144,0.509,133.082,audio_features,6CUP2khYzdphXebxVTfPE3,spotify:track:6CUP2khYzdphXebxVTfPE3,https://api.spotify.com/v1/tracks/6CUP2khYzdphXebxVTfPE3,https://api.spotify.com/v1/audio-analysis/6CUP2khYzdphXebxVTfPE3,195299,4
HammerFall,Raise the Hammer - 2020 Remix,4NcyaRKRP19wrrBZU0LUC3,19,0.44,0.977,1,-6.198,1,0.0756,5.66e-06,0.735,0.0669,0.274,127.047,audio_features,4NcyaRKRP19wrrBZU0LUC3,spotify:track:4NcyaRKRP19wrrBZU0LUC3,https://api.spotify.com/v1/tracks/4NcyaRKRP19wrrBZU0LUC3,https://api.spotify.com/v1/audio-analysis/4NcyaRKRP19wrrBZU0LUC3,205821,4
Internet Money,Blastoff (feat. Juice Wrld & Trippie Redd),7dH9TPjTWQ60wOJkmYay8a,68,0.761,0.517,5,-6.916,1,0.0927,0.114,0.0,0.157,0.46,147.912,audio_features,7dH9TPjTWQ60wOJkmYay8a,spotify:track:7dH9TPjTWQ60wOJkmYay8a,https://api.spotify.com/v1/tracks/7dH9TPjTWQ60wOJkmYay8a,https://api.spotify.com/v1/audio-analysis/7dH9TPjTWQ60wOJkmYay8a,174730,4
Catherwren,2020,0U9cAlc6nKYBjJE8WVggTY,2,0.703,0.456,1,-12.964,1,0.128,0.683,0.0,0.0874,0.447,99.945,audio_features,0U9cAlc6nKYBjJE8WVggTY,spotify:track:0U9cAlc6nKYBjJE8WVggTY,https://api.spotify.com/v1/tracks/0U9cAlc6nKYBjJE8WVggTY,https://api.spotify.com/v1/audio-analysis/0U9cAlc6nKYBjJE8WVggTY,200150,4
HARDY,BOOTS,48r61fmMtlyjaMgXhi0Go6,65,0.544,0.871,2,-3.831,1,0.0392,0.181,0.0,0.0862,0.511,104.018,audio_features,48r61fmMtlyjaMgXhi0Go6,spotify:track:48r61fmMtlyjaMgXhi0Go6,https://api.spotify.com/v1/tracks/48r61fmMtlyjaMgXhi0Go6,https://api.spotify.com/v1/audio-analysis/48r61fmMtlyjaMgXhi0Go6,193902,4
Hard Men Working Hard,E-Girls get the Bullet,73wGdmRY1dPNWQx2YqpUeh,12,0.728,0.548,7,-8.901,1,0.195,0.207,0.0,0.0631,0.499,180.053,audio_features,73wGdmRY1dPNWQx2YqpUeh,spotify:track:73wGdmRY1dPNWQx2YqpUeh,https://api.spotify.com/v1/tracks/73wGdmRY1dPNWQx2YqpUeh,https://api.spotify.com/v1/audio-analysis/73wGdmRY1dPNWQx2YqpUeh,220667,4
Parker McCollum,Like A Cowboy,13bXmY0acm51KkgEdhCm1n,65,0.486,0.443,4,-6.791,1,0.034,0.611,2.46e-06,0.0981,0.215,125.159,audio_features,13bXmY0acm51KkgEdhCm1n,spotify:track:13bXmY0acm51KkgEdhCm1n,https://api.spotify.com/v1/tracks/13bXmY0acm51KkgEdhCm1n,https://api.spotify.com/v1/audio-analysis/13bXmY0acm51KkgEdhCm1n,226438,3
Year 2087,TRILLLOGY,03n6PmaynJUzM875zOUAXK,0,0.534,0.765,0,-8.321,0,0.0597,0.0199,3.51e-06,0.11,0.0367,111.644,audio_features,03n6PmaynJUzM875zOUAXK,spotify:track:03n6PmaynJUzM875zOUAXK,https://api.spotify.com/v1/tracks/03n6PmaynJUzM875zOUAXK,https://api.spotify.com/v1/audio-analysis/03n6PmaynJUzM875zOUAXK,86400,3
Penelope Scott,Feel Better,0mfHN9LcAPidSI3JCPqYml,69,0.594,0.335,4,-13.415,0,0.0513,0.747,0.0111,0.0976,0.343,87.49,audio_features,0mfHN9LcAPidSI3JCPqYml,spotify:track:0mfHN9LcAPidSI3JCPqYml,https://api.spotify.com/v1/tracks/0mfHN9LcAPidSI3JCPqYml,https://api.spotify.com/v1/audio-analysis/0mfHN9LcAPidSI3JCPqYml,252630,4
Hard Men Working Hard,Chinavirus,4t6vVyRYAxwBsbCPnGGaT1,10,0.805,0.748,4,-8.831,0,0.239,0.0556,2.65e-06,0.107,0.323,120.021,audio_features,4t6vVyRYAxwBsbCPnGGaT1,spotify:track:4t6vVyRYAxwBsbCPnGGaT1,https://api.spotify.com/v1/tracks/4t6vVyRYAxwBsbCPnGGaT1,https://api.spotify.com/v1/audio-analysis/4t6vVyRYAxwBsbCPnGGaT1,420000,4
Lee Brice,Memory I Don't Mess With,7BQE1P0NUalHSvFtrxasx9,66,0.617,0.704,6,-7.61,0,0.0258,0.171,0.0,0.0924,0.57,91.541,audio_features,7BQE1P0NUalHSvFtrxasx9,spotify:track:7BQE1P0NUalHSvFtrxasx9,https://api.spotify.com/v1/tracks/7BQE1P0NUalHSvFtrxasx9,https://api.spotify.com/v1/audio-analysis/7BQE1P0NUalHSvFtrxasx9,180617,4
