,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
582,Giorgos Zambetas,Ta Dilina,7t6O79lBf5G2ugnNMd54vW,21,0.741,0.371,5,-11.543,0,0.0304,0.361,0.0,0.541,0.517,107.277,audio_features,7t6O79lBf5G2ugnNMd54vW,spotify:track:7t6O79lBf5G2ugnNMd54vW,https://api.spotify.com/v1/tracks/7t6O79lBf5G2ugnNMd54vW,https://api.spotify.com/v1/audio-analysis/7t6O79lBf5G2ugnNMd54vW,103493,4
583,Dove Cameron,If Only,1mRBJdpIgc3jZH8C3cN2WV,70,0.477,0.6,7,-5.652,1,0.0324,0.271,0.0,0.112,0.29,152.062,audio_features,1mRBJdpIgc3jZH8C3cN2WV,spotify:track:1mRBJdpIgc3jZH8C3cN2WV,https://api.spotify.com/v1/tracks/1mRBJdpIgc3jZH8C3cN2WV,https://api.spotify.com/v1/audio-analysis/1mRBJdpIgc3jZH8C3cN2WV,229813,3
584,Best Of 2015,All of Me,3JmSCo2RxX7We4ZjBLE6eX,0,0.399,0.325,8,-7.395,1,0.0311,0.961,1.41e-05,0.106,0.423,125.862,audio_features,3JmSCo2RxX7We4ZjBLE6eX,spotify:track:3JmSCo2RxX7We4ZjBLE6eX,https://api.spotify.com/v1/tracks/3JmSCo2RxX7We4ZjBLE6eX,https://api.spotify.com/v1/audio-analysis/3JmSCo2RxX7We4ZjBLE6eX,274892,4
585,Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",4T0ScSPdQKmGvruK7pavNP,65,0.726,0.607,2,-7.68,1,0.0498,0.0389,0.0,0.19,0.891,81.997,audio_features,4T0ScSPdQKmGvruK7pavNP,spotify:track:4T0ScSPdQKmGvruK7pavNP,https://api.spotify.com/v1/tracks/4T0ScSPdQKmGvruK7pavNP,https://api.spotify.com/v1/audio-analysis/4T0ScSPdQKmGvruK7pavNP,176744,4
586,David Bowie,Hang on to Yourself - Arnold Corns Version; 2015 Remaster,346Wm4hdxTu4leg2yQqB9d,11,0.657,0.579,0,-12.402,1,0.0424,0.031,2.61e-05,0.06,0.941,77.942,audio_features,346Wm4hdxTu4leg2yQqB9d,spotify:track:346Wm4hdxTu4leg2yQqB9d,https://api.spotify.com/v1/tracks/346Wm4hdxTu4leg2yQqB9d,https://api.spotify.com/v1/audio-analysis/346Wm4hdxTu4leg2yQqB9d,172022,4
587,Cody Jinks,Mamma Song,5EUXRdukDwEkNays7HQ3AB,63,0.567,0.72,10,-6.859,1,0.0441,0.000432,0.000609,0.101,0.679,119.921,audio_features,5EUXRdukDwEkNays7HQ3AB,spotify:track:5EUXRdukDwEkNays7HQ3AB,https://api.spotify.com/v1/tracks/5EUXRdukDwEkNays7HQ3AB,https://api.spotify.com/v1/audio-analysis/5EUXRdukDwEkNays7HQ3AB,259457,4
588,Armin van Buuren,The Year Of Two - A State Of Trance Year Mix 2012 Intro,4Ii7oNgddvkIwFgaDJYfc3,1,0.361,0.529,1,-15.861,1,0.0699,0.0095,0.000214,0.461,0.322,130.367,audio_features,4Ii7oNgddvkIwFgaDJYfc3,spotify:track:4Ii7oNgddvkIwFgaDJYfc3,https://api.spotify.com/v1/tracks/4Ii7oNgddvkIwFgaDJYfc3,https://api.spotify.com/v1/audio-analysis/4Ii7oNgddvkIwFgaDJYfc3,114462,1
589,Chris Stapleton,Nobody To Blame,4WRRCuJYRq7gUKiupxVH9W,64,0.534,0.666,9,-9.471,1,0.0335,0.0143,0.0615,0.113,0.59,87.401,audio_features,4WRRCuJYRq7gUKiupxVH9W,spotify:track:4WRRCuJYRq7gUKiupxVH9W,https://api.spotify.com/v1/tracks/4WRRCuJYRq7gUKiupxVH9W,https://api.spotify.com/v1/audio-analysis/4WRRCuJYRq7gUKiupxVH9W,244147,4
590,Sam Smith,Make It To Me,2uCMaUojwuqr8CRGsLoPa6,70,0.456,0.379,1,-8.573,1,0.0685,0.63,3.1e-06,0.0983,0.225,149.967,audio_features,2uCMaUojwuqr8CRGsLoPa6,spotify:track:2uCMaUojwuqr8CRGsLoPa6,https://api.spotify.com/v1/tracks/2uCMaUojwuqr8CRGsLoPa6,https://api.spotify.com/v1/audio-analysis/2uCMaUojwuqr8CRGsLoPa6,162732,4
591,Roy Orbison,"Pistolero - From ""The Fastest Guitar Alive"" Soundtrack / Remastered 2015",6YM3IP8lMCP6eevA039xYB,10,0.441,0.35,9,-10.605,1,0.0352,0.848,1.23e-05,0.104,0.543,131.834,audio_features,6YM3IP8lMCP6eevA039xYB,spotify:track:6YM3IP8lMCP6eevA039xYB,https://api.spotify.com/v1/tracks/6YM3IP8lMCP6eevA039xYB,https://api.spotify.com/v1/audio-analysis/6YM3IP8lMCP6eevA039xYB,177613,4
